"pair_address","base_token_address","quote_token_address","total_volume_usd","swap_count"
"0x587f6eeafc7ad567e96ed1b62775fa6402164b22","0xfafddbb3fc7688494971a79cc65dca3ef82079e7","0x4200000000000000000000000000000000000006",1115353.0361106491,4130
"0x75830042d79bc740f2142ed693a2b036e038f4fd","0xf096444aa724acda86a7914c61380d92238265ee","0x4200000000000000000000000000000000000006",798900.7157592899,3770
"0x6c8e5d463a2473b1a8bcd87e1cea2724203a1d8f","0xfafddbb3fc7688494971a79cc65dca3ef82079e7","0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb",663201.5945158458,609
"0x50221fdb8e13296fd342383e40b7dc886735cef0","0xb44748d2fa31615289aa0f24939f62b46443420a","0x4200000000000000000000000000000000000006",507924.73070134904,5270
"0x89cd25dabd6b5c06511eeccc18404d0d1acd8cf7","0x131350d7612f16bb8e19acd8d221d9044051146f","0x4200000000000000000000000000000000000006",388009.1961417792,3514
"0x2809696f2e42eb452c32c3d0a2dc540858c14125","0x4200000000000000000000000000000000000006","0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb",316667.1477663476,816
"0x2679f1fb34b6b69b38758d8e8d1812f899a2604a","0x4ad82325cb497d81b1fd37443bef528c7f240d37","0x4200000000000000000000000000000000000006",315669.0089906834,1873
"0x25f2a22272f2302691774675611a4e12c5597cc5","0x462f420c7a84e48dc655ea1a519e444b995c07e4","0x4200000000000000000000000000000000000006",304390.1736220276,1975
"0xab72f355ee690252a07d197b2a17e3a232419f39","0x021ee124cf23d302a7f725ae7a01b77a8ce9782b","0x4200000000000000000000000000000000000006",242200.3726087099,829
"0x919f2707182bdabb04e6a470483fa0af02f79165","0x2efbed20c162121cb7dcd54140118371cd8edc0e","0x4200000000000000000000000000000000000006",166120.05711667828,923
"0x93410c1276bf7cc91a074a316fb7dba00b4b4fea","0x141cf6bfe9d5057883b9becb39fee8a62982dc93","0x4200000000000000000000000000000000000006",134483.62277931193,903
"0x865b17278dd6f37b7c010f10fe693e4f50772e3b","0x29eef1645b730a7248f47444cc26edad0da6e325","0x4200000000000000000000000000000000000006",130862.07418850884,796
"0x038b29c079096f6a02f87be94e604055b24bcc5f","0x70d153d7338828f9b1088830e0cf83595e105648","0x4200000000000000000000000000000000000006",107723.67349981757,2219
"0xc53a8174c38dcbf4976ac9a4c41293ddafa87936","0x42b99a9202e319013543fac6eabb78fbaf8d9708","0x4200000000000000000000000000000000000006",102165.13945987578,1049
"0x86d211196e7dce9ebfdfc1884f9f377329638299","0x1db540bc113e4c8ad377de59801242ee9d6fa69c","0x4200000000000000000000000000000000000006",100094.72475231477,486
"0x1de9b5c701d245fa5e933d221656db5b634bd170","0x09a9a37e63415a95f80e810d87ca2085eb54a93f","0x4200000000000000000000000000000000000006",97583.05411323995,575
"0x1e0c6d4e8d602cfe1fdab9fe15dfaab8a2ba3325","0x2a3a4c92ce37abd7239fb010bc390710f4062407","0x4200000000000000000000000000000000000006",78956.31057339767,664
"0xc4fd000d208e7442f19021ca201d8217d092448e","0x37a0492754701e6f59c8d02a384dba10e3f91e9e","0x4200000000000000000000000000000000000006",72562.8073562169,319
"0x7a37e10a38eb4e8b21fa91536e88ecb8c5403d8d","0x0c833bcdd2dc74d7a8dca82ed011e32d04fe5843","0x4200000000000000000000000000000000000006",69467.04814275843,261
"0xa405d4257d9278d091c515209d7ec68fb244b5cc","0x273d38762cee7db9474ec0fd37a94bbda198e6c0","0x4200000000000000000000000000000000000006",56923.539894252026,301
