token_address,name,symbol
0xfafddbb3fc7688494971a79cc65dca3ef82079e7,"MegaUSD","USDm"
0x4200000000000000000000000000000000000006,"Wrapped Ether","WETH"
0xf096444aa724acda86a7914c61380d92238265ee,"Meka","MEKA"
0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,"USDT0","USDT0"
0xb44748d2fa31615289aa0f24939f62b46443420a,"Fluffey","FLUFFEY"
0x131350d7612f16bb8e19acd8d221d9044051146f,"Milady","MILADY"
0x4ad82325cb497d81b1fd37443bef528c7f240d37,"Meka","MEKA"
0x462f420c7a84e48dc655ea1a519e444b995c07e4,"Red Hood Wolf","KUMBAYA"
0x021ee124cf23d302a7f725ae7a01b77a8ce9782b,"Duck Token","DUCK"
0x2efbed20c162121cb7dcd54140118371cd8edc0e,"Ω","OMEGA"
0x141cf6bfe9d5057883b9becb39fee8a62982dc93,"Sigma Bunny","Σ:"
0x29eef1645b730a7248f47444cc26edad0da6e325,"MEGA RABBIT","RABBIT"
0x70d153d7338828f9b1088830e0cf83595e105648,"MegaMind","MegaMind"
0x42b99a9202e319013543fac6eabb78fbaf8d9708,"BadBunny","BADBUNNY"
0x1db540bc113e4c8ad377de59801242ee9d6fa69c,"Fluffey","FLUFFEY"
0x09a9a37e63415a95f80e810d87ca2085eb54a93f,"cumbaya","CUM"
0x2a3a4c92ce37abd7239fb010bc390710f4062407,"Fluffey","FLUFFEY"
0x37a0492754701e6f59c8d02a384dba10e3f91e9e,"MEKA","MEKA"
0x0c833bcdd2dc74d7a8dca82ed011e32d04fe5843,"Make Ethereum Great Again","MEGA"
0x273d38762cee7db9474ec0fd37a94bbda198e6c0,"KUMA","KUMA"
